method,split,bertscore_precision,bertscore_recall,bertscore_f1
tfidf,valid,0.7146042585372925,0.7080443501472473,0.7099485397338867
tfidf,test,0.7266011238098145,0.7098898887634277,0.716413140296936
e5_small,valid,0.7112784385681152,0.7066709399223328,0.7081207036972046
e5_small,test,0.7167465090751648,0.7148383855819702,0.7144941091537476
sbert_multilingual_minilm,valid,0.728918194770813,0.7117500305175781,0.718406081199646
sbert_multilingual_minilm,test,0.7241937518119812,0.7185208201408386,0.7197038531303406
