entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
1.901782888174057,0.0646987464617873,,,,,,,,1.65625,0.00019964928592495045,2.763587760925293,0.48974271193146707,79976.0,10,,,,,
2.091233891248703,0.1293974929235746,,,,,,,,0.73046875,0.00019573194975320673,2.0212135314941406,0.5663781881332397,162375.0,20,,,,,
1.8676428623497485,0.1940962393853619,,,,,,,,0.6015625,0.00018763066800438636,1.8416057586669923,0.5914786078035832,243028.0,30,,,,,
1.8085200861096382,0.2587949858471492,,,,,,,,0.65625,0.00017569950556517566,1.7466495513916016,0.6100724941119552,325691.0,40,,,,,
1.728758156299591,0.3234937323089365,,,,,,,,0.70703125,0.0001604599114862375,1.7115690231323242,0.6136225843802094,404866.0,50,,,,,
,0.3234937323089365,1.7549865298969731,1.8651798963546753,0.5853657997717523,404866.0,87.8091,1.788,1.788,,,,,,50,,,,,
1.624718564003706,0.3881924787707238,,,,,,,,0.8671875,0.00014257792915650728,1.5779598236083985,0.6363461151719093,483197.0,60,,,,,
1.5792456842958926,0.45289122523251113,,,,,,,,0.703125,0.00012283508701106557,1.558033275604248,0.639146625995636,563455.0,70,,,,,
1.577739479392767,0.5175899716942984,,,,,,,,0.796875,0.0001020942419883357,1.5242195129394531,0.6464104309678078,645461.0,80,,,,,
1.5431530155241489,0.5822887181560857,,,,,,,,0.79296875,8.126186854142752e-05,1.4954626083374023,0.6494962509721518,725321.0,90,,,,,
1.4941328816115855,0.646987464617873,,,,,,,,0.859375,6.12484413547897e-05,1.4387908935546876,0.6613955121487379,806248.0,100,,,,,
,0.646987464617873,1.5819339266248569,1.8444384336471558,0.5910537603554452,806248.0,89.7818,1.749,1.749,,,,,,100,,,,,
1.5218309670686723,0.7116862110796603,,,,,,,,0.80859375,4.2928643231556844e-05,1.4901962280273438,0.6519588448107243,886085.0,110,,,,,
1.5347953654825688,0.7763849575414477,,,,,,,,0.86328125,2.7103137257858868e-05,1.477377986907959,0.6568675514310598,964458.0,120,,,,,
1.488228791952133,0.841083704003235,,,,,,,,0.83203125,1.4463573983949341e-05,1.3973579406738281,0.6674597270786762,1045328.0,130,,,,,
1.4502828873693943,0.9057824504650223,,,,,,,,0.86328125,5.562362976251901e-06,1.3807228088378907,0.6697046145796776,1124665.0,140,,,,,
1.4543678235262631,0.9704811969268096,,,,,,,,0.8828125,7.885298685522235e-07,1.379012107849121,0.6749818585813046,1204576.0,150,,,,,
,0.9704811969268096,1.5391939081204165,1.8503938913345337,0.5923064947128296,1204576.0,90.0564,1.743,1.743,,,,,,150,,,,,
,1.0,1.5391417483615268,1.850528359413147,0.5918035609706952,1239795.0,89.949,1.745,1.745,,,,,,155,,,,,
,1.0,,,,,,,,,,,,,155,2.589146331973632e+16,1.6440828015727382,4635.7627,0.533,0.033
,1.0,1.5819339266248569,1.8444384336471558,0.5910537603554452,1239795.0,91.427,1.717,1.717,,,,,,155,,,,,
