entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
1.6746933698654174,0.0646987464617873,,,,,,,,0.404296875,0.00019964928592495045,2.691926956176758,0.49997204151004554,215994.0,10,,,,,
1.675284679234028,0.1293974929235746,,,,,,,,0.3984375,0.00019573194975320673,1.6148609161376952,0.6366827186197043,436577.0,20,,,,,
1.4078940123319625,0.1940962393853619,,,,,,,,0.5,0.00018763066800438636,1.3697733879089355,0.6799404628574848,655911.0,30,,,,,
1.2784086745232344,0.2587949858471492,,,,,,,,0.6328125,0.00017569950556517566,1.2308614730834961,0.7090521279722453,880729.0,40,,,,,
1.1337067726999521,0.3234937323089365,,,,,,,,0.77734375,0.0001604599114862375,1.1089322090148925,0.7348817527294159,1093180.0,50,,,,,
,0.3234937323089365,1.1534261008736435,1.1948596239089966,0.7221135223747059,1093180.0,123.7394,1.269,1.269,,,,,,50,,,,,
0.9847484847530723,0.3881924787707238,,,,,,,,1.078125,0.00014257792915650728,0.9229864120483399,0.777333154156804,1298339.0,60,,,,,
0.9345828154124319,0.45289122523251113,,,,,,,,0.82421875,0.00012283508701106557,0.885806941986084,0.7884184136986733,1510725.0,70,,,,,
0.8378207445610315,0.5175899716942984,,,,,,,,0.84375,0.0001020942419883357,0.7516518592834472,0.8197598919272423,1728654.0,80,,,,,
0.8046472110785544,0.5822887181560857,,,,,,,,0.9296875,8.126186854142752e-05,0.7414739608764649,0.8225621562451124,1938572.0,90,,,,,
0.7348324907943606,0.646987464617873,,,,,,,,0.89453125,6.12484413547897e-05,0.6828711032867432,0.8390360254794359,2151377.0,100,,,,,
,0.646987464617873,0.9340340483720135,0.9641766548156738,0.7795467627276281,2151377.0,122.9419,1.277,1.277,,,,,,100,,,,,
0.7171769227832556,0.7116862110796603,,,,,,,,0.8671875,4.2928643231556844e-05,0.6384778499603272,0.8494508866220712,2368862.0,110,,,,,
0.6812661511357874,0.7763849575414477,,,,,,,,0.98828125,2.7103137257858868e-05,0.613178014755249,0.856167345494032,2572900.0,120,,,,,
0.6499257448595017,0.841083704003235,,,,,,,,0.98828125,1.4463573983949341e-05,0.5644382953643798,0.8659200217574835,2785647.0,130,,,,,
0.6396981274709106,0.9057824504650223,,,,,,,,0.98046875,5.562362976251901e-06,0.5588973522186279,0.8680340707302093,2993542.0,140,,,,,
0.6138391555286944,0.9704811969268096,,,,,,,,0.85546875,7.885298685522235e-07,0.5439671039581299,0.8723319653421641,3205609.0,150,,,,,
,0.9704811969268096,0.7903548878659109,0.935061514377594,0.7925289869308472,3205609.0,122.9543,1.277,1.277,,,,,,150,,,,,
,1.0,0.7904335965111757,0.9352144002914429,0.7927400857020336,3300303.0,122.752,1.279,1.279,,,,,,155,,,,,
,1.0,,,,,,,,,,,,,155,6.892242190726349e+16,0.9797724723815918,6494.8253,0.381,0.024
,1.0,0.7903548878659109,0.935061514377594,0.7925289869308472,3300303.0,123.4406,1.272,1.272,,,,,,155,,,,,
