dataset_variant,target,method,model,split,unit,n,sacrebleu,chrf_corpus,chrf_mean,rouge_l_mean,token_f1_mean,mean_latency_s,source,notes
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,56,0.38578246254537524,7.417928477733292,0.0864684752413882,0.008699633699633698,0.008699633699633698,0.0006590321427211165,outputs/results/dataset_short_answer/retrieval_textual_heldout/predictions_valid_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,test,case,100,0.7729063904095489,9.957908128505217,0.08865846569815526,0.013388178870937491,0.013388178870937491,0.0007950290001463145,outputs/results/dataset_short_answer/retrieval_textual_heldout/predictions_test_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
