entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
1.9843603901565074,0.0646987464617873,,,,,,,,1.9921875,0.00019964928592495045,3.0826337814331053,0.4598206548020244,75305.0,10,,,,,
2.245574715733528,0.1293974929235746,,,,,,,,0.65234375,0.00019573194975320673,2.1719644546508787,0.5457345135509968,155138.0,20,,,,,
2.042559290677309,0.1940962393853619,,,,,,,,0.6640625,0.00018763066800438636,2.0073007583618163,0.5659245915710926,232633.0,30,,,,,
1.9594960652291775,0.2587949858471492,,,,,,,,0.69140625,0.00017569950556517566,1.9004905700683594,0.5818991275504232,312926.0,40,,,,,
1.8763827607035637,0.3234937323089365,,,,,,,,0.98046875,0.0001604599114862375,1.878120231628418,0.5871945019811392,387127.0,50,,,,,
,0.3234937323089365,1.964475871651036,2.171382427215576,0.5341087048220786,387127.0,91.9804,1.707,1.707,,,,,,50,,,,,
1.818861761689186,0.3881924787707238,,,,,,,,0.77734375,0.00014257792915650728,1.7359632492065429,0.6094074938446283,461452.0,60,,,,,
1.7191720440983773,0.45289122523251113,,,,,,,,0.78125,0.00012283508701106557,1.6989120483398437,0.6176455471664667,538162.0,70,,,,,
1.7396732941269875,0.5175899716942984,,,,,,,,1.1484375,0.0001020942419883357,1.6848299026489257,0.6183734104037285,615500.0,80,,,,,
1.6817767202854157,0.5822887181560857,,,,,,,,1.03125,8.126186854142752e-05,1.633336639404297,0.6265724953263998,691603.0,90,,,,,
1.6525906883180141,0.646987464617873,,,,,,,,1.0703125,6.12484413547897e-05,1.592909812927246,0.6368226766586303,768715.0,100,,,,,
,0.646987464617873,1.8102149287606502,2.1668593883514404,0.5363582522626136,768715.0,91.5735,1.714,1.714,,,,,,100,,,,,
1.6920637227594852,0.7116862110796603,,,,,,,,1.1640625,4.2928643231556844e-05,1.6555574417114258,0.6315952384844422,844178.0,110,,,,,
1.6745515696704387,0.7763849575414477,,,,,,,,1.0078125,2.7103137257858868e-05,1.6223152160644532,0.6338504094630479,919339.0,120,,,,,
1.605267970263958,0.841083704003235,,,,,,,,0.9921875,1.4463573983949341e-05,1.5106324195861816,0.6539341971278191,996175.0,130,,,,,
1.6003491193056107,0.9057824504650223,,,,,,,,1.203125,5.562362976251901e-06,1.5364930152893066,0.6435625229030848,1073709.0,140,,,,,
1.6024707123637199,0.9704811969268096,,,,,,,,1.015625,7.885298685522235e-07,1.520573329925537,0.6561383632943034,1149043.0,150,,,,,
,0.9704811969268096,1.7477646792770192,2.192902088165283,0.5349217110378727,1149043.0,89.9902,1.745,1.745,,,,,,150,,,,,
,1.0,1.747257624462152,2.19276762008667,0.5343209905609204,1183438.0,90.4476,1.736,1.736,,,,,,155,,,,,
,1.0,,,,,,,,,,,,,155,2.471452261719245e+16,1.805497347924017,4731.1754,0.523,0.033
,1.0,1.8102149287606502,2.1668593883514404,0.5363582522626136,1183438.0,91.5106,1.716,1.716,,,,,,155,,,,,
