dataset_variant,target,method,model,split,unit,n,sacrebleu,chrf_corpus,chrf_mean,rouge_l_mean,token_f1_mean,mean_latency_s,source,notes
dataset_longest_answer,longest_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,56,0.2316552407607943,11.781084474116126,0.1454390153363911,0.06268491766016784,0.07686908321332976,0.0006270517873677558,outputs/results/dataset_longest_answer/retrieval_textual_heldout/predictions_valid_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_longest_answer,longest_answer,retrieval_tfidf_train_only,TF-IDF,test,case,100,0.46192574926060787,13.159842511543571,0.14783735524886446,0.05605274815513865,0.07212559073302291,0.0005483130004722625,outputs/results/dataset_longest_answer/retrieval_textual_heldout/predictions_test_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
