dataset_variant,model,n,sim_score_mean,rouge_l_mean,chrf_mean,token_f1_mean,bertscore_f1_mean
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,998,0.6915989248496994,0.08423752580343676,0.16457607592028667,0.08183263126479623,0.6567633619647705
longest_answer,retrieval_textual/tfidf_results,998,0.16190747194388777,0.08404167378414579,0.15788835662373757,0.08252128064575225,0.6562156805652893
longest_answer,retrieval_textual_e5/e5_results,998,0.9276328426853708,0.08420373786424533,0.16712094950578055,0.08102490308395276,0.6556944358563853
longest_answer,retrieval_textual_sbert/sbert_results,998,0.736567380761523,0.08753648953469823,0.1739996471469498,0.08459387694376279,0.6566601664365413
longest_answer,retrieval_visual/visual_results,998,0.8317056683366734,0.08123843288919008,0.1615800400787928,0.08018619096610843,0.6548416121211463
