dataset_variant,model,n,sim_score_mean,rouge_l_mean,chrf_mean,token_f1_mean,bertscore_f1_mean
short_answer,retrieval_textual_e5/e5_results,998,0.9276328426853708,0.03470471922249376,0.10400845858627368,0.02574023656404749,0.6666754360547763
short_answer,retrieval_textual_sbert/sbert_results,998,0.736567380761523,0.04788068370785051,0.11042878661706708,0.03368724321507087,0.6678848572388918
short_answer,retrieval_textual_tfidf/tfidf_results,998,0.16190747194388777,0.044168410137384054,0.1051891094458934,0.03637040507528739,0.665768698664132
